experiment_id,model,input_mode,is_baseline,split,sample_id,speaker_id,noise_id,noise_category,target_snr_db,input_snr_db,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,pesq_error,output_rms,clipping_count,nonfinite_count
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tactical_siren_sweep__-5dB,SPK_009,tactical_siren_sweep,NON_STATIONARY,-5.0,-5.0,2.55,7.55,1.61,0.8113,1.0461,,0.1044,4,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tactical_siren_sweep__-5dB,SPK_009,tactical_siren_sweep,NON_STATIONARY,-5.0,-5.0,8.5,13.5,7.86,0.86,1.0747,,0.0861,2,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_heldout_rec__-5dB,SPK_009,tank_engine_heldout_rec,STATIONARY,-5.0,-5.0,-5.0,0.0,-4.94,0.7151,1.0192,,0.1852,8,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_heldout_rec__-5dB,SPK_009,tank_engine_heldout_rec,STATIONARY,-5.0,-5.0,1.65,6.65,1.01,0.7535,1.0227,,0.1123,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_heldout_rec__-5dB,SPK_009,tank_engine_heldout_rec,STATIONARY,-5.0,-5.0,4.31,9.31,2.31,0.7072,1.0274,,0.0736,0,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_heldout_rec__-5dB,SPK_009,tank_engine_heldout_rec,STATIONARY,-5.0,-5.0,5.17,10.17,4.14,0.7738,1.0289,,0.0624,0,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_heldout_rec__-5dB,SPK_009,tank_engine_heldout_rec,STATIONARY,-5.0,-5.0,1.44,6.44,0.71,0.7749,1.0299,,0.1126,4,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_heldout_rec__-5dB,SPK_009,tank_engine_heldout_rec,STATIONARY,-5.0,-5.0,5.17,10.17,4.34,0.8235,1.0328,,0.0945,3,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_009__helicopter_rotor_heldout_rec__-5dB,SPK_009,helicopter_rotor_heldout_rec,PERIODIC_ROTOR,-5.0,-5.0,-5.0,0.0,-5.0,0.7723,1.0245,,0.1849,11,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_009__helicopter_rotor_heldout_rec__-5dB,SPK_009,helicopter_rotor_heldout_rec,PERIODIC_ROTOR,-5.0,-5.0,5.28,10.28,4.72,0.8059,1.029,,0.0975,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__helicopter_rotor_heldout_rec__-5dB,SPK_009,helicopter_rotor_heldout_rec,PERIODIC_ROTOR,-5.0,-5.0,7.25,12.25,8.11,0.8194,1.0391,,0.0632,0,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__helicopter_rotor_heldout_rec__-5dB,SPK_009,helicopter_rotor_heldout_rec,PERIODIC_ROTOR,-5.0,-5.0,6.71,11.71,9.08,0.8303,1.0412,,0.0564,0,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__helicopter_rotor_heldout_rec__-5dB,SPK_009,helicopter_rotor_heldout_rec,PERIODIC_ROTOR,-5.0,-5.0,2.55,7.55,1.61,0.8113,1.0461,,0.1044,4,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__helicopter_rotor_heldout_rec__-5dB,SPK_009,helicopter_rotor_heldout_rec,PERIODIC_ROTOR,-5.0,-5.0,8.5,13.5,7.86,0.86,1.0747,,0.0861,2,0
