clip,noise_type,target_snr_db,variant,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,stoi_source,pesq_source
SPK_010_clean,pink,20,FULL,-1.14,-21.14,-29.56,0.767,1.65,STOI,PESQ
SPK_010_clean,white,-5,NOISY,-3.21,-0.0,-4.98,0.448,1.02,STOI,PESQ
SPK_010_clean,white,-5,NLMS_ONLY,-3.21,-0.0,-4.99,0.448,1.02,STOI,PESQ
SPK_010_clean,white,-5,FULL,-2.55,0.66,-37.87,0.429,1.02,STOI,PESQ
SPK_010_clean,white,0,NOISY,0.56,-0.0,0.0,0.548,1.02,STOI,PESQ
SPK_010_clean,white,0,NLMS_ONLY,0.55,-0.01,-0.01,0.548,1.02,STOI,PESQ
SPK_010_clean,white,0,FULL,-1.78,-2.34,-32.45,0.556,1.02,STOI,PESQ
SPK_010_clean,white,5,NOISY,5.0,0.0,4.98,0.656,1.03,STOI,PESQ
SPK_010_clean,white,5,NLMS_ONLY,4.99,-0.01,4.97,0.656,1.03,STOI,PESQ
SPK_010_clean,white,5,FULL,-1.42,-6.42,-31.2,0.625,1.03,STOI,PESQ
SPK_010_clean,white,10,NOISY,10.0,0.0,10.0,0.761,1.04,STOI,PESQ
SPK_010_clean,white,10,NLMS_ONLY,9.99,-0.01,9.99,0.761,1.04,STOI,PESQ
SPK_010_clean,white,10,FULL,-1.21,-11.21,-29.49,0.718,1.04,STOI,PESQ
SPK_010_clean,white,15,NOISY,15.0,0.0,14.99,0.844,1.11,STOI,PESQ
SPK_010_clean,white,15,NLMS_ONLY,14.99,-0.01,14.98,0.846,1.11,STOI,PESQ
SPK_010_clean,white,15,FULL,-1.14,-16.14,-28.66,0.778,1.14,STOI,PESQ
SPK_010_clean,white,20,NOISY,20.0,0.0,19.99,0.887,1.3,STOI,PESQ
SPK_010_clean,white,20,NLMS_ONLY,19.95,-0.05,19.95,0.886,1.3,STOI,PESQ
SPK_010_clean,white,20,FULL,-1.14,-21.14,-29.6,0.8,1.32,STOI,PESQ
SPK_010_clean,impulsive,-5,NOISY,1.14,0.0,-5.04,0.392,1.02,STOI,PESQ
SPK_010_clean,impulsive,-5,NLMS_ONLY,1.17,0.03,-4.86,0.389,1.02,STOI,PESQ
SPK_010_clean,impulsive,-5,FULL,-0.16,-1.3,-36.25,0.353,1.02,STOI,PESQ
SPK_010_clean,impulsive,0,NOISY,2.81,-0.0,0.05,0.552,1.02,STOI,PESQ
SPK_010_clean,impulsive,0,NLMS_ONLY,2.9,0.09,0.35,0.549,1.02,STOI,PESQ
SPK_010_clean,impulsive,0,FULL,-0.31,-3.12,-35.65,0.517,1.02,STOI,PESQ
SPK_010_clean,impulsive,5,NOISY,6.08,0.0,5.02,0.637,1.03,STOI,PESQ
SPK_010_clean,impulsive,5,NLMS_ONLY,6.3,0.22,5.39,0.637,1.03,STOI,PESQ
SPK_010_clean,impulsive,5,FULL,-0.65,-6.73,-30.32,0.583,1.03,STOI,PESQ
SPK_010_clean,impulsive,10,NOISY,10.0,0.0,10.02,0.738,1.04,STOI,PESQ
SPK_010_clean,impulsive,10,NLMS_ONLY,10.17,0.17,10.2,0.736,1.04,STOI,PESQ
SPK_010_clean,impulsive,10,FULL,-1.22,-11.22,-29.97,0.682,1.05,STOI,PESQ
SPK_010_clean,impulsive,15,NOISY,15.0,-0.0,15.01,0.781,1.13,STOI,PESQ
SPK_010_clean,impulsive,15,NLMS_ONLY,15.14,0.14,15.14,0.781,1.13,STOI,PESQ
SPK_010_clean,impulsive,15,FULL,-1.15,-16.15,-29.11,0.722,1.14,STOI,PESQ
SPK_010_clean,impulsive,20,NOISY,20.0,0.0,20.0,0.849,1.29,STOI,PESQ
SPK_010_clean,impulsive,20,NLMS_ONLY,20.12,0.12,20.12,0.856,1.3,STOI,PESQ
SPK_010_clean,impulsive,20,FULL,-1.16,-21.16,-30.43,0.756,1.29,STOI,PESQ
