sample_id,noise_category,scenario,system_config,delta_snr_db,si_sdr_db,stoi,pesq,nlms_better_than_ai_only
SPK_001__artillery_blast_dhanush__+10dB,IMPULSIVE_DEFENCE,IMPULSIVE_SPIKE,AI_ONLY,-8.22,0.45,0.842,1.71,True
SPK_001__artillery_blast_dhanush__+10dB,IMPULSIVE_DEFENCE,IMPULSIVE_SPIKE,HYBRID_PROTECTED,-5.25,8.64,0.851,2.16,True
SPK_001__artillery_blast_dhanush__+10dB,IMPULSIVE_DEFENCE,IMPULSIVE_SPIKE,NLMS_ONLY,-6.98,3.04,0.832,1.98,True
SPK_002__tank_engine_t90__-10dB,STATIONARY,MATCHED_REFERENCE,AI_ONLY,10.18,-8.51,0.661,1.01,True
SPK_002__tank_engine_t90__-10dB,STATIONARY,MATCHED_REFERENCE,HYBRID_PROTECTED,12.28,-1.57,0.689,1.02,True
SPK_002__tank_engine_t90__-10dB,STATIONARY,MATCHED_REFERENCE,NLMS_ONLY,9.28,-0.88,0.691,1.02,True
SPK_002__tank_engine_t90__-10dB,STATIONARY,SPEECH_LEAKAGE,AI_ONLY,10.18,-8.51,0.661,1.01,True
SPK_002__tank_engine_t90__-10dB,STATIONARY,SPEECH_LEAKAGE,HYBRID_PROTECTED,11.74,-3.05,0.679,1.02,True
SPK_002__tank_engine_t90__-10dB,STATIONARY,SPEECH_LEAKAGE,NLMS_ONLY,9.52,-2.57,0.679,1.02,True
SPK_002__tank_engine_t90__-10dB,STATIONARY,IMPULSIVE_SPIKE,AI_ONLY,10.08,-8.78,0.629,1.01,True
SPK_002__tank_engine_t90__-10dB,STATIONARY,IMPULSIVE_SPIKE,HYBRID_PROTECTED,12.24,-1.67,0.669,1.02,True
SPK_002__tank_engine_t90__-10dB,STATIONARY,IMPULSIVE_SPIKE,NLMS_ONLY,8.26,-1.9,0.639,1.02,True
SPK_002__diesel_idle_apc__-5dB,STATIONARY,MATCHED_REFERENCE,AI_ONLY,5.7,-4.4,0.722,1.02,True
SPK_002__diesel_idle_apc__-5dB,STATIONARY,MATCHED_REFERENCE,HYBRID_PROTECTED,8.29,0.91,0.734,1.02,True
SPK_002__diesel_idle_apc__-5dB,STATIONARY,MATCHED_REFERENCE,NLMS_ONLY,6.61,1.6,0.736,1.02,True
SPK_002__diesel_idle_apc__-5dB,STATIONARY,SPEECH_LEAKAGE,AI_ONLY,5.7,-4.4,0.722,1.02,True
SPK_002__diesel_idle_apc__-5dB,STATIONARY,SPEECH_LEAKAGE,HYBRID_PROTECTED,7.66,-0.19,0.732,1.02,True
SPK_002__diesel_idle_apc__-5dB,STATIONARY,SPEECH_LEAKAGE,NLMS_ONLY,6.94,0.3,0.732,1.02,True
SPK_002__diesel_idle_apc__-5dB,STATIONARY,IMPULSIVE_SPIKE,AI_ONLY,6.16,-5.14,0.674,1.02,True
SPK_002__diesel_idle_apc__-5dB,STATIONARY,IMPULSIVE_SPIKE,HYBRID_PROTECTED,8.21,0.68,0.712,1.02,True
SPK_002__diesel_idle_apc__-5dB,STATIONARY,IMPULSIVE_SPIKE,NLMS_ONLY,4.45,-0.57,0.677,1.02,True
SPK_002__generator_hum_50hz__+15dB,STATIONARY,MATCHED_REFERENCE,AI_ONLY,-9.98,13.68,0.893,1.16,True
SPK_002__generator_hum_50hz__+15dB,STATIONARY,MATCHED_REFERENCE,HYBRID_PROTECTED,-9.9,17.44,0.921,1.23,True
SPK_002__generator_hum_50hz__+15dB,STATIONARY,MATCHED_REFERENCE,NLMS_ONLY,4.86,19.87,0.922,1.26,True
