hop_index,total_ms,dsp_ms,ai_ms,regime_ms
806,5.395,0.669,3.114,1.318
807,3.915,0.433,2.256,0.962
808,3.586,0.466,2.235,0.71
809,3.596,0.429,2.269,0.718
810,3.652,0.42,2.343,0.712
811,4.123,0.445,2.26,1.11
812,3.468,0.421,2.162,0.706
813,3.884,0.427,2.513,0.764
814,3.583,0.422,2.215,0.765
815,4.016,0.634,2.448,0.752
816,3.632,0.468,2.248,0.736
817,3.599,0.464,2.233,0.721
818,3.547,0.443,2.213,0.712
819,4.331,0.421,2.986,0.713
820,3.592,0.431,2.194,0.786
821,3.51,0.453,2.19,0.698
822,3.5,0.422,2.196,0.706
823,4.478,0.416,3.129,0.707
824,4.774,0.664,2.729,1.101
825,4.559,0.595,2.627,1.077
826,4.429,0.572,2.588,1.028
827,4.231,0.449,2.373,1.166
828,3.634,0.444,2.267,0.738
829,3.523,0.426,2.172,0.709
830,3.511,0.424,2.155,0.762
831,4.623,0.932,2.782,0.725
832,4.493,0.577,2.621,1.041
833,4.452,0.579,2.662,0.966
834,4.936,0.619,3.075,0.973
835,3.593,0.429,2.225,0.752
836,3.526,0.421,2.185,0.748
837,3.448,0.419,2.141,0.719
838,3.566,0.41,2.297,0.678
839,3.875,0.522,2.192,0.905
840,3.404,0.42,2.095,0.711
841,3.408,0.417,2.084,0.698
842,3.549,0.426,2.127,0.828
843,3.845,0.612,2.383,0.679
844,3.417,0.451,2.104,0.693
845,3.342,0.411,2.091,0.674
846,3.359,0.412,2.06,0.723
847,3.858,0.449,2.543,0.683
848,4.763,0.601,2.778,1.103
849,4.565,0.588,2.716,1.009
850,4.625,0.636,2.723,1.015
851,5.44,0.654,3.405,1.112
852,5.521,0.686,3.143,1.372
853,5.052,0.697,2.918,1.144
854,4.853,0.618,2.806,1.149
855,4.593,0.636,2.691,1.007
856,4.607,0.605,2.695,1.039
857,5.153,0.581,3.289,1.039
858,3.589,0.467,2.181,0.756
859,3.448,0.412,2.187,0.684
860,3.534,0.422,2.229,0.709
861,4.224,0.425,2.862,0.756
862,3.5,0.428,2.111,0.743
863,3.459,0.415,2.148,0.728
864,3.412,0.45,2.113,0.683
865,3.338,0.408,2.087,0.68
866,5.113,0.649,2.86,1.357
867,4.567,0.586,2.652,1.068
868,4.499,0.583,2.633,1.027
869,4.962,0.709,3.0,0.998
870,5.154,0.639,3.094,1.139
871,5.35,0.709,3.087,1.256
872,5.381,0.64,3.147,1.263
873,4.804,0.61,2.65,1.27
874,3.481,0.419,2.181,0.707
875,3.548,0.422,2.205,0.739
876,5.024,0.624,2.974,1.165
877,5.257,0.716,3.013,1.226
878,5.314,0.692,2.983,1.339
879,4.822,0.621,2.726,1.182
880,4.126,0.471,2.307,1.098
881,3.59,0.428,2.212,0.768
882,3.744,0.423,2.394,0.743
883,5.04,0.606,2.982,1.175
884,4.722,0.653,2.71,1.084
885,4.599,0.6,2.705,1.038
886,4.406,0.763,2.297,1.099
887,3.582,0.42,2.161,0.817
888,3.464,0.419,2.113,0.753
889,3.392,0.457,2.065,0.696
890,4.494,0.417,3.2,0.694
891,4.506,0.592,2.611,1.049
892,4.478,0.579,2.61,1.046
893,5.172,0.588,3.305,0.995
894,3.624,0.433,2.219,0.785
895,3.494,0.46,2.146,0.71
896,3.417,0.414,2.142,0.689
897,3.428,0.422,2.123,0.708
898,5.264,0.659,2.881,1.529
899,4.596,0.588,2.664,1.078
900,4.565,0.578,2.688,1.002
901,4.676,1.179,2.283,0.976
902,3.504,0.424,2.144,0.759
903,3.479,0.457,2.155,0.695
904,3.348,0.411,2.077,0.69
905,4.841,0.419,3.489,0.745
906,4.684,0.597,2.669,1.141
907,4.623,0.59,2.67,1.102
908,5.044,0.76,2.998,1.047
909,3.614,0.433,2.229,0.771
910,3.614,0.522,2.231,0.69
911,3.551,0.422,2.251,0.701
912,3.601,0.426,2.26,0.722
913,5.087,0.615,2.955,1.218
914,4.613,0.592,2.672,1.084
915,4.463,0.57,2.63,1.016
916,5.022,0.617,3.108,1.005
917,5.258,0.646,3.021,1.296
918,5.103,0.681,2.943,1.187
919,5.92,0.95,3.38,1.29
920,5.68,0.689,3.359,1.334
921,4.87,0.598,2.847,1.136
922,4.213,0.513,2.372,1.135
923,3.556,0.43,2.212,0.729
924,3.548,0.423,2.199,0.754
925,3.528,0.424,2.192,0.741
926,4.401,0.609,2.914,0.694
927,4.598,0.595,2.665,1.078
928,4.636,0.588,2.765,1.033
929,5.946,0.637,3.985,1.055
930,4.022,0.836,2.213,0.777
931,3.369,0.453,2.054,0.694
932,3.401,0.42,2.104,0.703
933,4.562,0.426,3.056,0.853
934,3.589,0.43,2.229,0.743
935,3.51,0.423,2.174,0.704
936,3.509,0.418,2.184,0.735
937,4.554,0.451,3.222,0.689
938,5.541,0.736,3.191,1.303
939,5.464,0.728,3.074,1.311
940,5.347,0.613,3.261,1.198
941,3.698,0.437,2.325,0.749
942,3.591,0.428,2.256,0.726
943,3.553,0.424,2.196,0.718
944,5.018,0.421,3.662,0.746
945,4.933,0.647,2.785,1.211
946,4.503,0.574,2.641,1.034
947,5.211,0.581,3.328,1.04
948,4.835,0.61,2.837,1.113
949,4.591,0.585,2.694,1.055
950,4.622,0.598,2.757,1.005
951,4.091,0.43,2.386,0.986
952,3.507,0.429,2.155,0.744
953,3.487,0.422,2.194,0.696
954,3.451,0.418,2.17,0.691
955,4.347,0.537,2.881,0.745
956,4.565,0.589,2.694,1.026
957,4.526,0.626,2.663,0.986
958,4.968,0.58,3.135,1.014
959,3.767,0.44,2.312,0.781
960,3.653,0.431,2.263,0.779
961,3.606,0.426,2.238,0.762
962,4.621,0.466,3.266,0.702
963,4.792,0.596,2.834,1.048
964,4.648,0.642,2.695,1.05
965,5.237,0.588,3.286,1.1
966,3.857,0.48,2.346,0.767
967,3.614,0.428,2.28,0.724
968,3.535,0.424,2.224,0.713
969,3.535,0.418,2.199,0.739
970,4.134,0.606,2.397,0.955
971,3.603,0.432,2.234,0.757
972,3.561,0.465,2.218,0.704
973,3.587,0.461,2.238,0.711
974,4.206,0.424,2.885,0.717
975,3.568,0.429,2.214,0.737
976,3.463,0.422,2.164,0.702
977,3.491,0.419,2.152,0.749
978,4.351,0.463,3.009,0.706
979,3.719,0.435,2.293,0.803
980,3.668,0.431,2.219,0.837
981,3.778,0.429,2.428,0.743
982,4.547,0.474,3.145,0.735
983,4.749,0.594,2.798,1.044
984,4.534,0.627,2.661,0.993
985,4.572,0.581,2.683,1.059
986,4.718,0.486,2.32,0.825
987,3.567,0.425,2.246,0.716
988,3.495,0.425,2.189,0.705
989,3.575,0.422,2.23,0.749
990,5.21,0.449,3.005,1.565
991,5.597,0.709,3.435,1.17
992,5.124,0.628,2.891,1.325
993,4.208,0.514,2.256,1.132
994,3.463,0.426,2.129,0.724
995,3.462,0.424,2.117,0.745
996,3.515,0.463,2.18,0.701
997,4.812,0.57,3.35,0.703
998,5.184,0.696,2.962,1.184
999,5.139,0.672,3.018,1.184
1000,6.017,0.772,2.897,2.036
1001,4.454,0.517,2.726,0.888
1002,4.436,0.5,2.759,0.917
1003,5.381,0.495,3.778,0.905
1004,4.797,0.607,2.788,1.089
1005,4.554,0.602,2.643,1.05
1006,5.636,0.584,3.754,1.045
1007,4.695,0.605,2.731,1.092
1008,4.636,0.597,2.681,1.102
1009,3.716,0.431,2.317,0.735
1010,5.038,0.637,2.874,1.246
1011,5.274,0.657,3.176,1.156
1012,5.724,0.654,3.446,1.306
1013,5.731,0.69,3.08,1.619
1014,3.674,0.433,2.29,0.761
1015,3.733,0.425,2.407,0.71
1016,5.759,0.908,3.124,1.426
1017,4.934,0.649,2.891,1.107
1018,5.304,0.664,3.119,1.236
1019,4.766,0.66,2.559,1.269
1020,3.618,0.435,2.176,0.809
1021,3.518,0.429,2.183,0.703
1022,3.519,0.424,2.219,0.702
1023,4.459,0.425,3.149,0.702
1024,4.655,0.608,2.702,1.077
1025,4.553,0.581,2.666,1.051
1026,5.589,0.581,3.771,0.985
1027,4.186,0.647,2.456,0.81
1028,3.376,0.421,2.059,0.715
1029,3.415,0.42,2.068,0.753
1030,4.505,0.461,3.162,0.706
1031,3.644,0.435,2.24,0.786
1032,3.448,0.455,2.117,0.701
1033,3.73,0.422,2.441,0.699
1034,3.484,0.423,2.181,0.695
1035,5.742,0.687,3.192,1.497
1036,5.273,0.702,3.014,1.254
1037,4.977,0.634,2.78,1.27
1038,3.815,0.425,2.309,0.833
1039,3.542,0.422,2.237,0.708
1040,3.581,0.424,2.25,0.737
1041,3.587,0.426,2.219,0.764
1042,3.898,0.644,2.278,0.795
1043,3.529,0.467,2.155,0.727
1044,3.301,0.416,2.015,0.699
1045,3.426,0.42,2.096,0.738
1046,4.441,0.426,3.068,0.739
1047,4.721,0.679,2.446,1.348
1048,3.56,0.47,2.147,0.753
1049,3.362,0.417,2.094,0.684
1050,5.295,0.417,3.959,0.733
1051,4.934,0.613,2.837,1.19
1052,5.203,0.7,2.99,1.225
1053,5.48,0.656,3.237,1.291
1054,5.119,0.645,2.819,1.315
1055,4.854,0.635,2.866,1.081
1056,6.154,0.675,3.939,1.264
1057,5.442,0.7,3.329,1.13
1058,5.073,0.778,3.021,0.932
1059,5.055,0.764,2.88,1.13
1060,4.635,0.594,2.744,1.03
1061,4.657,0.6,2.693,1.089
1062,5.373,0.587,3.448,1.077
1063,4.79,0.609,2.8,1.109
1064,4.726,0.595,2.775,1.053
1065,5.181,0.654,3.263,1.015
1066,3.555,0.431,2.154,0.745
1067,3.505,0.42,2.184,0.733
1068,3.436,0.46,2.1,0.704
1069,4.342,0.415,3.033,0.701
1070,4.14,0.435,2.392,1.021
1071,3.708,0.431,2.316,0.775
1072,3.626,0.433,2.242,0.768
1073,4.473,0.478,3.045,0.754
1074,4.778,0.602,2.775,1.094
1075,4.599,0.591,2.715,1.033
1076,4.51,0.637,2.621,0.999
1077,4.085,0.44,2.293,1.115
1078,3.509,0.417,2.174,0.742
1079,3.553,0.463,2.212,0.706
1080,3.527,0.422,2.222,0.71
1081,4.195,0.419,2.897,0.699
1082,3.575,0.431,2.214,0.745
1083,3.591,0.425,2.249,0.745
1084,3.59,0.43,2.22,0.762
1085,4.295,0.467,2.941,0.71
1086,3.629,0.437,2.198,0.804
1087,3.739,0.462,2.397,0.701
1088,3.535,0.422,2.239,0.7
1089,4.133,0.425,2.815,0.713
1090,3.617,0.432,2.217,0.783
1091,3.496,0.42,2.165,0.739
1092,3.449,0.448,2.148,0.685
1093,3.371,0.411,2.111,0.684
1094,4.351,0.456,2.396,1.33
1095,3.501,0.425,2.158,0.728
1096,3.486,0.423,2.145,0.71
1097,3.671,0.419,2.332,0.747
1098,4.652,0.627,2.97,0.863
1099,4.817,0.598,2.842,1.063
